Name,Office,Filing Year,Filing,Report URL,Found,Assets,Quotes
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024277.pdf,False,,
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024458.pdf,False,,
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025031.pdf,False,,
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025287.pdf,False,,
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025411.pdf,False,,
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025601.pdf,False,,
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025875.pdf,False,,
"Allen, Hon.. Richard W.",GA12,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20026031.pdf,False,,
"Auchincloss, Hon.. Jake",MA04,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025708.pdf,False,,
"Banks, Hon.. James E Hon",IN03,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025626.pdf,False,,
"Barragan, Hon.. Nanette",CA44,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024750.pdf,False,,
"Barragan, Hon.. Nanette",CA44,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024923.pdf,False,,
"Bentz, Hon.. Cliff",OR02,2024,PTR Original,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024492.pdf,False,,
