Name,Office (Filer Type),Report Type,Date Received/Filed,Report Link,Annoying,Standard,Filename
"Baldwin, Tammy","Baldwin, Tammy (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/1965e9b4-7e0c-4c2e-ad42-d0c49bbe1f7d/,FALSE,TRUE,senate_reports/senate_reports_1731547489
"Barrasso, John A","Barrasso, John (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/139241f0-2606-43e7-a61d-c4b597660cf9/,FALSE,TRUE,senate_reports/senate_reports_1731547490
"Bennet, Michael F","Bennet, Michael (Senator)",Annual Report for CY 2023,07/15/2024,https://efdsearch.senate.gov/search/view/annual/786a8aff-781a-458e-a9be-ccfd5ea46bfc/,FALSE,TRUE,senate_reports/senate_reports_1731547491
"Blackburn, Marsha","Blackburn, Marsha (Senator)",Annual Report for CY 2023,08/09/2024,https://efdsearch.senate.gov/search/view/annual/ad42cbc0-ed6f-4bc8-a9ff-32e6063f1306/,FALSE,TRUE,senate_reports/senate_reports_1731547492
"BLUMENTHAL, RICHARD",Senator,Annual Report,08/13/2024,https://efdsearch.senate.gov/search/view/paper/86ac224d-3986-4406-9d5e-9c53db007ef4/,TRUE,FALSE,senate_reports/senate_reports_1731547493
"BLUMENTHAL, RICHARD",Senator,Annual Report (Amendment),08/13/2024,https://efdsearch.senate.gov/search/view/paper/1054d22a-0eea-4ec0-81a8-c742657f7699/,TRUE,FALSE,senate_reports/senate_reports_1731547494
"BLUMENTHAL, RICHARD",Senator,Annual Report (Amendment),08/13/2024,https://efdsearch.senate.gov/search/view/paper/42f1a7a7-dcf2-45b5-8ece-ac19724aaeb6/,TRUE,FALSE,senate_reports/senate_reports_1731547495
"Booker, Cory A","Booker, Cory (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/2d6f8208-ad5a-49f9-931e-dc87bfcccb9b/,FALSE,TRUE,senate_reports/senate_reports_1731547496
"Boozman, John","Boozman, John (Senator)",Annual Report for CY 2023,05/09/2024,https://efdsearch.senate.gov/search/view/annual/a66f9abf-311f-4494-871f-4631eb7ebc57/,FALSE,TRUE,senate_reports/senate_reports_1731547498
"Braun, Mike","Braun, Mike (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/31b2b826-95a2-4da8-b850-4a472b284a73/,FALSE,TRUE,senate_reports/senate_reports_1731547499
"Braun, Mike","Braun, Mike (Senator)",Annual Report for CY 2022 (Amendment 1),11/13/2024,https://efdsearch.senate.gov/search/view/annual/b2ed200a-92c1-4b16-9a00-a1dea721d8d3/,FALSE,TRUE,senate_reports/senate_reports_1731547500
"Britt, Katie","Britt, Katie (Senator)",Annual Report for CY 2023,07/15/2024,https://efdsearch.senate.gov/search/view/annual/ae8aa928-7d29-4e74-aac7-c8c9211713c7/,FALSE,TRUE,senate_reports/senate_reports_1731547501
"Brown, Sherrod","Brown, Sherrod (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/0091a0e6-17d3-4a52-963a-fc1db3c5d80f/,FALSE,TRUE,senate_reports/senate_reports_1731547502
"BUDD, THEODORE P","Budd, Ted (Senator)",Annual Report for CY 2022 (Amendment 1),08/13/2024,https://efdsearch.senate.gov/search/view/annual/e980fd1e-16f5-4a17-81db-48d65dc55ddd/,FALSE,TRUE,senate_reports/senate_reports_1731547503
"BUDD, THEODORE P","Budd, Ted (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/ac4f24bc-25fa-4821-80ca-0aa41539710d/,FALSE,TRUE,senate_reports/senate_reports_1731547505
"Butler, Laphonza R","Butler, Laphonza (Senator)",Annual Report for CY 2023,08/08/2024,https://efdsearch.senate.gov/search/view/annual/ede91fb4-df19-4993-bf20-c86b03143458/,FALSE,TRUE,senate_reports/senate_reports_1731547506
"Butler, Laphonza R","Butler, Laphonza (Senator)",New Filer Report (Amendment 1),08/08/2024,https://efdsearch.senate.gov/search/view/annual/7750c02c-e393-4bda-a331-76ac7bbc0cf7/,FALSE,TRUE,senate_reports/senate_reports_1731547508
"Cantwell, Maria","Cantwell, Maria (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/4c6dee46-2f1c-41ba-bd01-1c8dce1349bf/,FALSE,TRUE,senate_reports/senate_reports_1731547510
