,First Name (Middle),Last Name (Suffix),Office (Filer Type),Report Type,Date Received/Filed,Report URL
0,Tammy,Baldwin,"Baldwin, Tammy (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/1965e9b4-7e0c-4c2e-ad42-d0c49bbe1f7d/
1,John A,Barrasso,"Barrasso, John (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/139241f0-2606-43e7-a61d-c4b597660cf9/
2,Michael F,Bennet,"Bennet, Michael (Senator)",Annual Report for CY 2023,07/15/2024,https://efdsearch.senate.gov/search/view/annual/786a8aff-781a-458e-a9be-ccfd5ea46bfc/
3,Marsha,Blackburn,"Blackburn, Marsha (Senator)",Annual Report for CY 2023,08/09/2024,https://efdsearch.senate.gov/search/view/annual/ad42cbc0-ed6f-4bc8-a9ff-32e6063f1306/
4,RICHARD,BLUMENTHAL,Senator,Annual Report,08/13/2024,https://efdsearch.senate.gov/search/view/paper/86ac224d-3986-4406-9d5e-9c53db007ef4/
5,RICHARD,BLUMENTHAL,Senator,Annual Report (Amendment),08/13/2024,https://efdsearch.senate.gov/search/view/paper/42f1a7a7-dcf2-45b5-8ece-ac19724aaeb6/
6,RICHARD,BLUMENTHAL,Senator,Annual Report (Amendment),08/13/2024,https://efdsearch.senate.gov/search/view/paper/1054d22a-0eea-4ec0-81a8-c742657f7699/
7,Cory A,Booker,"Booker, Cory (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/2d6f8208-ad5a-49f9-931e-dc87bfcccb9b/
8,John,Boozman,"Boozman, John (Senator)",Annual Report for CY 2023,05/09/2024,https://efdsearch.senate.gov/search/view/annual/a66f9abf-311f-4494-871f-4631eb7ebc57/
9,Mike,Braun,"Braun, Mike (Senator)",Annual Report for CY 2022 (Amendment 1),11/13/2024,https://efdsearch.senate.gov/search/view/annual/b2ed200a-92c1-4b16-9a00-a1dea721d8d3/
10,Mike,Braun,"Braun, Mike (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/31b2b826-95a2-4da8-b850-4a472b284a73/
11,Katie,Britt,"Britt, Katie (Senator)",Annual Report for CY 2023,07/15/2024,https://efdsearch.senate.gov/search/view/annual/ae8aa928-7d29-4e74-aac7-c8c9211713c7/
12,Sherrod,Brown,"Brown, Sherrod (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/0091a0e6-17d3-4a52-963a-fc1db3c5d80f/
13,THEODORE P,BUDD,"Budd, Ted (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/ac4f24bc-25fa-4821-80ca-0aa41539710d/
14,THEODORE P,BUDD,"Budd, Ted (Senator)",Annual Report for CY 2022 (Amendment 1),08/13/2024,https://efdsearch.senate.gov/search/view/annual/e980fd1e-16f5-4a17-81db-48d65dc55ddd/
15,Laphonza R,Butler,"Butler, Laphonza (Senator)",Annual Report for CY 2023,08/08/2024,https://efdsearch.senate.gov/search/view/annual/ede91fb4-df19-4993-bf20-c86b03143458/
16,Laphonza R,Butler,"Butler, Laphonza (Senator)",New Filer Report (Amendment 1),08/08/2024,https://efdsearch.senate.gov/search/view/annual/7750c02c-e393-4bda-a331-76ac7bbc0cf7/
17,Maria,Cantwell,"Cantwell, Maria (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/4c6dee46-2f1c-41ba-bd01-1c8dce1349bf/
18,Shelley M,Capito,"Capito, Shelley Moore (Senator)",Annual Report for CY 2023,05/09/2024,https://efdsearch.senate.gov/search/view/annual/1fc99b72-3465-4ff7-808c-80b7283cd6d2/
19,Benjamin L,Cardin,"Cardin, Benjamin L. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/3e3a7b84-38b9-49ab-80a8-89622e29b6f8/
20,Thomas R,Carper,"Carper, Thomas R. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/04db916f-2633-4633-ac3d-3fbda2e9c134/
21,Robert P,"Casey, Jr.","Casey, Robert P. Jr. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/f80907e1-7f43-4db1-8dda-28d885483742/
22,William,Cassidy,"Cassidy, Bill (Senator)",Annual Report for CY 2023,05/06/2024,https://efdsearch.senate.gov/search/view/annual/878c4bde-388b-453b-8a38-b753aa618074/
23,William,Cassidy,"Cassidy, Bill (Senator)",Annual Report for CY 2022 (Amendment 1),05/06/2024,https://efdsearch.senate.gov/search/view/annual/b2483597-0ef3-484d-b431-0aef41d5593f/
24,Susan M,Collins,"Collins, Susan M. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/f2f01d23-0af5-4958-984c-e97e7b2f8544/
25,Christopher A,Coons,"Coons, Chris (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/dd3245e1-b4c3-4196-882a-4012cf2bd524/
26,John,Cornyn,"Cornyn, John (Senator)",Annual Report for CY 2023,05/13/2024,https://efdsearch.senate.gov/search/view/annual/7f1d97b6-ee67-4358-8116-9d20d440f90b/
27,Catherine,Cortez Masto,"Cortez Masto, Catherine (Senator)",Annual Report for CY 2023,08/04/2024,https://efdsearch.senate.gov/search/view/annual/a8706c27-3a15-492e-8d3b-86a35d631ce0/
28,Tom,Cotton,"Cotton, Tom (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/1ecc063e-2ddb-467a-a938-c6f677662b95/
29,Kevin J,Cramer,"Cramer, Kevin (Senator)",Annual Report for CY 2023,03/15/2024,https://efdsearch.senate.gov/search/view/annual/9025ef30-3182-4f55-98fd-cdf184ddd34b/
30,Michael D,Crapo,"Crapo, Michael D. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/0e3b35aa-e3be-4524-a1d0-00f8f10c2fe2/
31,Rafael E,Cruz,"Cruz, Ted (Senator)",Annual Report for CY 2022 (Amendment 1),08/16/2024,https://efdsearch.senate.gov/search/view/annual/b6ab044e-3538-44f9-bd9d-1939608cec72/
32,Rafael E,Cruz,"Cruz, Ted (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/9675a1d6-d0cc-48bb-b0ee-fb1b99c3de0d/
33,Steve,Daines,"Daines, Steve (Senator)",Annual Report for CY 2023,05/08/2024,https://efdsearch.senate.gov/search/view/annual/a9295e86-a2ec-426f-a3e7-ef5329e2a227/
34,Steve,Daines,"Daines, Steve (Senator)",Annual Report for CY 2023 (Amendment 1),11/12/2024,https://efdsearch.senate.gov/search/view/annual/d2075cc1-1cdb-4caf-83d2-34841ab7f3ab/
35,Ladda Tammy,Duckworth,"Duckworth, Tammy (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/014b5055-8073-451f-8dcb-d7eec191e51a/
36,Ladda Tammy,Duckworth,"Duckworth, Tammy (Senator)",Annual Report for CY 2023 (Amendment 1),10/01/2024,https://efdsearch.senate.gov/search/view/annual/d79217f7-7ed7-42d1-8b13-ea062c910346/
37,RICHARD J,DURBIN,Senator,Annual Report,08/01/2024,https://efdsearch.senate.gov/search/view/paper/7d9d262c-64d6-4a65-adb5-59127dae1bb0/
38,Joni K,Ernst,"Ernst, Joni (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/db76aaa0-c2ec-49a1-8a5f-87c2ec97d22e/
39,John,Fetterman,"Fetterman, John (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/9f9a065f-a7f8-4647-8e97-2c7b33519cd8/
40,John,Fetterman,"Fetterman, John (Senator)",Candidate Report (Amendment 2),08/13/2024,https://efdsearch.senate.gov/search/view/annual/9e7ea262-7ec8-416c-bb04-a13f1dc0ef9d/
41,John,Fetterman,"Fetterman, John (Senator)",Annual Report for CY 2022 (Amendment 1),08/13/2024,https://efdsearch.senate.gov/search/view/annual/8b81adfd-9bce-4bc3-bdcf-12240efb9638/
42,John,Fetterman,"Fetterman, John (Senator)",Candidate Report (Amendment 1),08/13/2024,https://efdsearch.senate.gov/search/view/annual/0ee12bcf-b3c0-4685-a83e-8156b2636cb4/
43,Debra S,Fischer,"Fischer, Deb (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/7a3e75e9-fdb2-48aa-8583-7558d53f2cf3/
